"site_name","variable","size_class","value"
"Amacayacu","AWM","small",0.476992152985958
"Amacayacu","AWP","small",0.640826949232882
"Barro Colorado Island","AWM","small",0.498951050315248
"Barro Colorado Island","AWP","small",0.796699924080049
"Cocoli","AWM","small",0.143168860899226
"Cocoli","AWP","small",0.331876126941712
"Danum Valley","AWM","small",0.475051010697642
"Danum Valley","AWP","small",0.776152688116175
"Fushan","AWM","small",0.365126438814316
"Fushan","AWP","small",0.562055453638347
"Korup","AWM","small",0.246873572622393
"Korup","AWP","small",0.412540603826733
"Lambir","AWM","small",0.426214404683533
"Lambir","AWP","small",0.70880093394922
"Laupahoehoe","AWM","small",0.540918991060593
"Laupahoehoe","AWP","small",1.09224402785436
"Luquillo","AWM","small",0.278684265246529
"Luquillo","AWP","small",0.157285058187137
"Mudumalai","AWM","small",0.0241007507856996
"Mudumalai","AWP","small",0.0471797677696992
"Pasoh","AWM","small",0.533054296619998
"Pasoh","AWP","small",1.003826625593
"San Lorenzo","AWM","small",0.314577161488578
"San Lorenzo","AWP","small",0.626387473281515
"Sinharaja","AWM","small",0.463308306878625
"Sinharaja","AWP","small",0.842771979942311
"Wanang","AWM","small",0.425672725946701
"Wanang","AWP","small",0.794020774052826
"Amacayacu","AWM","med",4.20981164064318
"Amacayacu","AWP","med",3.37860913342775
"Barro Colorado Island","AWM","med",3.50498372815539
"Barro Colorado Island","AWP","med",3.55993133005002
"Cocoli","AWM","med",1.42739580717806
"Cocoli","AWP","med",2.37491989750288
"Danum Valley","AWM","med",2.74290824429581
"Danum Valley","AWP","med",5.07433599519013
"Fushan","AWM","med",1.76066518116932
"Fushan","AWP","med",3.60252171442036
"Korup","AWM","med",2.93207751769599
"Korup","AWP","med",2.50696593454349
"Lambir","AWM","med",3.30144796329832
"Lambir","AWP","med",4.82267116929536
"Laupahoehoe","AWM","med",1.64512656718663
"Laupahoehoe","AWP","med",6.86044851431548
"Luquillo","AWM","med",3.43728339955636
"Luquillo","AWP","med",3.30952521198829
"Mudumalai","AWM","med",1.07091118579445
"Mudumalai","AWP","med",3.19558072485344
"Pasoh","AWM","med",4.90999475262089
"Pasoh","AWP","med",5.56964272416911
"San Lorenzo","AWM","med",3.65090534531287
"San Lorenzo","AWP","med",3.75741241584541
"Sinharaja","AWM","med",6.15963227116665
"Sinharaja","AWP","med",6.23889352738294
"Wanang","AWM","med",4.77159230303265
"Wanang","AWP","med",5.05265675908382
"Amacayacu","AWM","large",0.931402312676021
"Amacayacu","AWP","large",0.125372939995065
"Barro Colorado Island","AWM","large",2.63392992160107
"Barro Colorado Island","AWP","large",2.09490923555317
"Cocoli","AWM","large",1.04377074532256
"Cocoli","AWP","large",4.24008160945844
"Danum Valley","AWM","large",3.77223501715443
"Danum Valley","AWP","large",4.91101869125725
"Fushan","AWM","large",0.272984270120867
"Fushan","AWP","large",0.679398885124204
"Korup","AWM","large",2.69339325201101
"Korup","AWP","large",1.36861550905794
"Lambir","AWM","large",2.84500110519722
"Lambir","AWP","large",3.05068583958633
"Laupahoehoe","AWM","large",1.62156251143307
"Laupahoehoe","AWP","large",4.33730705989728
"Luquillo","AWM","large",0.492898506323838
"Luquillo","AWP","large",0.735089969105002
"Mudumalai","AWM","large",0.348111814263732
"Mudumalai","AWP","large",0.791478917243661
"Pasoh","AWM","large",4.13443474874538
"Pasoh","AWP","large",1.70100811567462
"San Lorenzo","AWM","large",2.80747494479558
"San Lorenzo","AWP","large",1.25420488777578
"Sinharaja","AWM","large",4.1392939785789
"Sinharaja","AWP","large",1.9477316082021
"Wanang","AWM","large",4.96561874089317
"Wanang","AWP","large",1.91704129121263
