Species,coef,significant,significant2,ci.lower,ci.upper,chg_rad_inc_1SD_clim,variable,month,CP,sp
CACO_subcanopy,-0.013428986,FALSE,FALSE,-0.219045452,0.188399232,-0.001960676,dtr,prev.jul,subcanopy,CACO
CACO_subcanopy,-0.260239626,TRUE,FALSE,-0.450641023,-0.02852752,-0.037995839,dtr,prev.aug,subcanopy,CACO
CACO_subcanopy,-0.192682351,FALSE,FALSE,-0.370820308,0.020767484,-0.028132255,dtr,prev.sep,subcanopy,CACO
CACO_subcanopy,-0.162812981,FALSE,FALSE,-0.323617969,0.023540397,-0.023771229,dtr,prev.oct,subcanopy,CACO
CACO_subcanopy,-0.130332129,FALSE,FALSE,-0.304504064,0.059651531,-0.019028918,dtr,prev.nov,subcanopy,CACO
CACO_subcanopy,-0.152880302,FALSE,FALSE,-0.361658668,0.053101294,-0.022321025,dtr,prev.dec,subcanopy,CACO
CACO_subcanopy,0.068882003,FALSE,FALSE,-0.126822213,0.248740655,0.010056998,dtr,curr.jan,subcanopy,CACO
CACO_subcanopy,-0.076227928,FALSE,FALSE,-0.296758634,0.149620804,-0.011129528,dtr,curr.feb,subcanopy,CACO
CACO_subcanopy,-0.275116527,TRUE,FALSE,-0.47604165,-0.032242902,-0.040167915,dtr,curr.mar,subcanopy,CACO
CACO_subcanopy,0.120752959,FALSE,FALSE,-0.096578211,0.329709635,0.017630328,dtr,curr.apr,subcanopy,CACO
CACO_subcanopy,-0.13989872,FALSE,FALSE,-0.329037439,0.051156831,-0.020425672,dtr,curr.may,subcanopy,CACO
CACO_subcanopy,-0.194048199,FALSE,FALSE,-0.412679024,0.046677643,-0.028331673,dtr,curr.jun,subcanopy,CACO
CACO_subcanopy,-0.142454289,FALSE,FALSE,-0.337041782,0.070482422,-0.020798793,dtr,curr.jul,subcanopy,CACO
CACO_subcanopy,-0.118317565,FALSE,FALSE,-0.312222599,0.063650735,-0.017274752,dtr,curr.aug,subcanopy,CACO
CACO_subcanopy,0.066657556,FALSE,FALSE,-0.124446921,0.241260517,0.009732222,frs,prev.oct,subcanopy,CACO
CACO_subcanopy,0.002291123,FALSE,FALSE,-0.207272881,0.210705464,0.000334512,frs,prev.nov,subcanopy,CACO
CACO_subcanopy,-0.18970184,FALSE,FALSE,-0.395150641,0.036063593,-0.027697091,frs,prev.dec,subcanopy,CACO
CACO_subcanopy,0.010945072,FALSE,FALSE,-0.158625382,0.187338196,0.001598016,frs,curr.jan,subcanopy,CACO
CACO_subcanopy,0.072717111,FALSE,FALSE,-0.089924957,0.240583919,0.010616937,frs,curr.feb,subcanopy,CACO
CACO_subcanopy,-0.052280152,FALSE,FALSE,-0.206947825,0.111684145,-0.007633074,frs,curr.mar,subcanopy,CACO
CACO_subcanopy,0.023018071,FALSE,FALSE,-0.186114942,0.224340656,0.003360714,frs,curr.apr,subcanopy,CACO
CACO_subcanopy,0.075679158,FALSE,FALSE,-0.129064338,0.265384421,0.011049405,frs,curr.may,subcanopy,CACO
CACO_subcanopy,0.018464857,FALSE,FALSE,-0.14959935,0.204528143,0.00269593,pet,prev.apr,subcanopy,CACO
CACO_subcanopy,-0.041986506,FALSE,FALSE,-0.23861457,0.157552293,-0.006130168,pet,prev.may,subcanopy,CACO
CACO_subcanopy,-0.048577798,FALSE,FALSE,-0.235136826,0.116395358,-0.007092518,pet,prev.jun,subcanopy,CACO
CACO_subcanopy,0.018039329,FALSE,FALSE,-0.143235336,0.195917381,0.002633801,pet,prev.jul,subcanopy,CACO
