site_name,variable,size_class,value,site_name,total,%large,%medium,%small,site_name,variable,size_class,value,site_name,total,%large,%medium,%small,,
Amacayacu,AWM,large,0.931402,Amacayacu,5.618205794,16.578282,74.93160264,8.490115359,Amacayacu,AWP,large,0.12537294,Amacayacu,4.144809022,3.024818257,81.51422937,15.46095238,,
Amacayacu,AWM,med,4.209811641,,,,,,Amacayacu,AWP,med,3.378609133,,,,,,,
Amacayacu,AWM,small,0.476992153,,,,,,Amacayacu,AWP,small,0.640826949,,,,,,,
Barro Colorado Island,AWM,large,2.633929922,Barro Colorado Island,6.6378647,39.68037978,52.80287994,7.516740285,Barro Colorado Island,AWP,large,2.094909236,Barro Colorado Island,6.45154049,32.47145762,55.17955495,12.34898743,,
Barro Colorado Island,AWM,med,3.504983728,,,,,,Barro Colorado Island,AWP,med,3.55993133,,,,,,,
Barro Colorado Island,AWM,small,0.49895105,,,,,,Barro Colorado Island,AWP,small,0.796699924,,,,,,,
Cocoli,AWM,large,1.043770745,Cocoli,2.614335413,39.92489792,54.59880166,5.476300412,Cocoli,AWP,large,4.240081609,Cocoli,6.946877634,61.03578949,34.18686816,4.777342347,,
Cocoli,AWM,med,1.427395807,,,,,,Cocoli,AWP,med,2.374919898,,,,,,,
Cocoli,AWM,small,0.143168861,,,,,,Cocoli,AWP,small,0.331876127,,,,,,,
Danum Valley,AWM,large,3.772235017,Danum Valley,6.990194272,53.96466636,39.23937071,6.795962923,Danum Valley,AWP,large,4.911018691,Danum Valley,10.76150737,45.63504461,47.15265082,7.212304569,,
Danum Valley,AWM,med,2.742908244,,,,,,Danum Valley,AWP,med,5.074335995,,,,,,,
Danum Valley,AWM,small,0.475051011,,,,,,Danum Valley,AWP,small,0.776152688,,,,,,,
Fushan,AWM,large,0.27298427,Fushan,2.39877589,11.38014898,73.3984858,15.22136522,Fushan,AWP,large,0.679398885,Fushan,4.843976053,14.025645,74.37117101,11.60318399,,
Fushan,AWM,med,1.760665181,,,,,,Fushan,AWP,med,3.602521714,,,,,,,
Fushan,AWM,small,0.365126439,,,,,,Fushan,AWP,small,0.562055454,,,,,,,
Korup,AWM,large,2.693393252,Korup,5.872344343,45.86572406,49.93027225,4.204003692,Korup,AWP,large,1.368615509,Korup,4.288122048,31.91643087,58.46302663,9.620542498,,
Korup,AWM,med,2.932077518,,,,,,Korup,AWP,med,2.506965935,,,,,,,
Korup,AWM,small,0.246873573,,,,,,Korup,AWP,small,0.412540604,,,,,,,
Lambir,AWM,large,2.845001105,Lambir,6.572663473,43.2853609,50.22998631,6.484652786,Lambir,AWP,large,3.05068584,Lambir,8.582157943,35.54683869,56.19415537,8.259005937,,
Lambir,AWM,med,3.301447963,,,,,,Lambir,AWP,med,4.822671169,,,,,,,
Lambir,AWM,small,0.426214405,,,,,,Lambir,AWP,small,0.708800934,,,,,,,
Laupahoehoe,AWM,large,1.621562511,Laupahoehoe,3.807608069,42.58743236,43.20630005,14.20626759,Laupahoehoe,AWP,large,4.33730706,Laupahoehoe,12.2899996,35.29135232,55.82138923,8.887258449,,
Laupahoehoe,AWM,med,1.645126567,,,,,,Laupahoehoe,AWP,med,6.860448514,,,,,,,
Laupahoehoe,AWM,small,0.540918991,,,,,,Laupahoehoe,AWP,small,1.092244028,,,,,,,
Luquillo,AWM,large,0.492898506,Luquillo,4.208866171,11.71095696,81.66768104,6.621361993,Luquillo,AWP,large,0.735089969,Luquillo,4.201900239,17.49422707,78.76258416,3.743188773,,
Luquillo,AWM,med,3.4372834,,,,,,Luquillo,AWP,med,3.309525212,,,,,,,
Luquillo,AWM,small,0.278684265,,,,,,Luquillo,AWP,small,0.157285058,,,,,,,
Mudumalai,AWM,large,0.348111814,Mudumalai,1.443123751,24.12210413,74.20785537,1.670040493,Mudumalai,AWP,large,0.791478917,Mudumalai,4.03423941,19.61903686,79.21147954,1.169483593,,
Mudumalai,AWM,med,1.070911186,,,,,,Mudumalai,AWP,med,3.195580725,,,,,,,
Mudumalai,AWM,small,0.024100751,,,,,,Mudumalai,AWP,small,0.047179768,,,,,,,
Pasoh,AWM,large,4.134434749,Pasoh,9.577483799,43.16827714,51.26601993,5.565702936,Pasoh,AWP,large,1.701008116,Pasoh,8.274477466,20.55728743,67.31111115,12.13160142,,
Pasoh,AWM,med,4.909994753,,,,,,Pasoh,AWP,med,5.569642724,,,,,,,
Pasoh,AWM,small,0.533054297,,,,,,Pasoh,AWP,small,1.003826626,,,,,,,
San Lorenzo,AWM,large,2.807474945,San Lorenzo,6.772957451,41.45124143,53.90415297,4.644605599,San Lorenzo,AWP,large,1.254204888,San Lorenzo,5.638004777,22.24554497,66.64436382,11.11009121,,
San Lorenzo,AWM,med,3.650905345,,,,,,San Lorenzo,AWP,med,3.757412416,,,,,,,
San Lorenzo,AWM,small,0.314577161,,,,,,San Lorenzo,AWP,small,0.626387473,,,,,,,
Sinharaja,AWM,large,4.139293979,Sinharaja,10.76223456,38.46128754,57.23376719,4.304945265,Sinharaja,AWP,large,1.947731608,Sinharaja,9.029397115,21.57100395,69.09534986,9.333646192,,
Sinharaja,AWM,med,6.159632271,,,,,,Sinharaja,AWP,med,6.238893527,,,,,,,
Sinharaja,AWM,small,0.463308307,,,,,,Sinharaja,AWP,small,0.84277198,,,,,,,
Wanang,AWM,large,4.965618741,Wanang,10.16288377,48.8603319,46.95116476,4.188503339,Wanang,AWP,large,1.917041291,Wanang,7.763718824,24.69230706,65.08036771,10.22732523,,
Wanang,AWM,med,4.771592303,,,,,,Wanang,AWP,med,5.052656759,,,,,,,
Wanang,AWM,small,0.425672726,,,,,,Wanang,AWP,small,0.794020774,,,,,,,
,,,,AWM,,,,,,,,,AWP,,,,,,
,,,,size,mean,min,max,,,,,,size,mean,min,max,,,
,,,,large,36,11,54,,,,,,large,28,3,61,,,
,,,,medium,57,39,82,,,,,,medium,63,34,82,,,
,,,,small,7,2,15,,,,,,small,9,1,15,,,
