site_name,variable,size_class,value,site,total for each site,large_total,medium_total,small_total,%large,%medium,%small
Amacayacu,AWM,large,0.931402313,Amacayacu,9.763015129,1.056775253,7.588420774,1.117819102,10.82427138,77.72620112,11.4495275
Amacayacu,AWP,large,0.12537294,,,,,,,,
Amacayacu,AWM,med,4.209811641,,,,,,,,
Amacayacu,AWP,med,3.378609133,,,,,,,,
Amacayacu,AWM,small,0.476992153,,,,,,,,
Amacayacu,AWP,small,0.640826949,,,,,,,,
Barro Colorado Island,AWM,large,2.633929922,Barro Colorado Island,13.08940519,4.728839157,7.064915058,1.295650974,36.12722724,53.97430178,9.898470982
Barro Colorado Island,AWP,large,2.094909236,,,,,,,,
Barro Colorado Island,AWM,med,3.504983728,,,,,,,,
Barro Colorado Island,AWP,med,3.55993133,,,,,,,,
Barro Colorado Island,AWM,small,0.49895105,,,,,,,,
Barro Colorado Island,AWP,small,0.796699924,,,,,,,,
Cocoli,AWM,large,1.043770745,Cocoli,9.561213047,5.283852355,3.802315705,0.475044988,55.26340987,39.76813074,4.968459394
Cocoli,AWP,large,4.240081609,,,,,,,,
Cocoli,AWM,med,1.427395807,,,,,,,,
Cocoli,AWP,med,2.374919898,,,,,,,,
Cocoli,AWM,small,0.143168861,,,,,,,,
Cocoli,AWP,small,0.331876127,,,,,,,,
Danum Valley,AWM,large,3.772235017,Danum Valley,17.75170165,8.683253708,7.817244239,1.251203699,48.91504984,44.03659094,7.048359215
Danum Valley,AWP,large,4.911018691,,,,,,,,
Danum Valley,AWM,med,2.742908244,,,,,,,,
Danum Valley,AWP,med,5.074335995,,,,,,,,
Danum Valley,AWM,small,0.475051011,,,,,,,,
Danum Valley,AWP,small,0.776152688,,,,,,,,
Fushan,AWM,large,0.27298427,Fushan,7.242751943,0.952383155,5.363186896,0.927181892,13.14946532,74.04902084,12.80151384
Fushan,AWP,large,0.679398885,,,,,,,,
Fushan,AWM,med,1.760665181,,,,,,,,
Fushan,AWP,med,3.602521714,,,,,,,,
Fushan,AWM,small,0.365126439,,,,,,,,
Fushan,AWP,small,0.562055454,,,,,,,,
Korup,AWM,large,2.693393252,Korup,10.16046639,4.062008761,5.439043452,0.659414176,39.978566,53.53143491,6.489999092
Korup,AWP,large,1.368615509,,,,,,,,
Korup,AWM,med,2.932077518,,,,,,,,
Korup,AWP,med,2.506965935,,,,,,,,
Korup,AWM,small,0.246873573,,,,,,,,
Korup,AWP,small,0.412540604,,,,,,,,
Lambir,AWM,large,2.845001105,Lambir,15.15482142,5.895686945,8.124119133,1.135015339,38.90304467,53.6074884,7.489466933
Lambir,AWP,large,3.05068584,,,,,,,,
Lambir,AWM,med,3.301447963,,,,,,,,
Lambir,AWP,med,4.822671169,,,,,,,,
Lambir,AWM,small,0.426214405,,,,,,,,
Lambir,AWP,small,0.708800934,,,,,,,,
Laupahoehoe,AWM,large,1.621562511,Laupahoehoe,16.09760767,5.958869571,8.505575082,1.633163019,37.01711268,52.83751011,10.1453772
Laupahoehoe,AWP,large,4.33730706,,,,,,,,
Laupahoehoe,AWM,med,1.645126567,,,,,,,,
Laupahoehoe,AWP,med,6.860448514,,,,,,,,
Laupahoehoe,AWM,small,0.540918991,,,,,,,,
Laupahoehoe,AWP,small,1.092244028,,,,,,,,
Luquillo,AWM,large,0.492898506,Luquillo,8.41076641,1.227988475,6.746808612,0.435969323,14.60019712,80.21633561,5.183467263
Luquillo,AWP,large,0.735089969,,,,,,,,
Luquillo,AWM,med,3.4372834,,,,,,,,
Luquillo,AWP,med,3.309525212,,,,,,,,
Luquillo,AWM,small,0.278684265,,,,,,,,
Luquillo,AWP,small,0.157285058,,,,,,,,
Mudumalai,AWM,large,0.348111814,Mudumalai,5.477363161,1.139590732,4.266491911,0.071280519,20.80546237,77.89317205,1.301365574
Mudumalai,AWP,large,0.791478917,,,,,,,,
Mudumalai,AWM,med,1.070911186,,,,,,,,
Mudumalai,AWP,med,3.195580725,,,,,,,,
Mudumalai,AWM,small,0.024100751,,,,,,,,
Mudumalai,AWP,small,0.047179768,,,,,,,,
Pasoh,AWM,large,4.134434749,Pasoh,17.85196126,5.835442864,10.47963748,1.536880922,32.68796508,58.70300368,8.609031241
Pasoh,AWP,large,1.701008116,,,,,,,,
Pasoh,AWM,med,4.909994753,,,,,,,,
Pasoh,AWP,med,5.569642724,,,,,,,,
Pasoh,AWM,small,0.533054297,,,,,,,,
Pasoh,AWP,small,1.003826626,,,,,,,,
San Lorenzo,AWM,large,2.807474945,San Lorenzo,12.41096223,4.061679833,7.408317761,0.940964635,32.72655059,59.69172756,7.581721848
San Lorenzo,AWP,large,1.254204888,,,,,,,,
San Lorenzo,AWM,med,3.650905345,,,,,,,,
San Lorenzo,AWP,med,3.757412416,,,,,,,,
San Lorenzo,AWM,small,0.314577161,,,,,,,,
San Lorenzo,AWP,small,0.626387473,,,,,,,,
Sinharaja,AWM,large,4.139293979,Sinharaja,19.79163167,6.087025587,12.3985258,1.306080287,30.75555208,62.64529375,6.59915417
Sinharaja,AWP,large,1.947731608,,,,,,,,
Sinharaja,AWM,med,6.159632271,,,,,,,,
Sinharaja,AWP,med,6.238893527,,,,,,,,
Sinharaja,AWM,small,0.463308307,,,,,,,,
Sinharaja,AWP,small,0.84277198,,,,,,,,
Wanang,AWM,large,4.965618741,Wanang,17.92660259,6.882660032,9.824249062,1.2196935,38.39355503,54.80262649,6.803818479
Wanang,AWP,large,1.917041291,,,,,,,,
Wanang,AWM,med,4.771592303,,,,,,,,
Wanang,AWP,med,5.052656759,,,,,,,,
Wanang,AWM,small,0.425672726,,,,,,,,
Wanang,AWP,small,0.794020774,,,,,,,,
,,,,,,,,,large,medium,small
,,,,,,,,average,32.15338781,60.24877414,7.597838053
,,,,,,,,min,10.82427138,39.76813074,1.301365574
,,,,,,,,max,55.26340987,80.21633561,12.80151384
