"","siteID","verticalPosition","startDateTime","tempSingleMean"
"1","HARV",10,2015-01-01 00:00:00,NA
"2","HARV",10,2015-01-01 00:30:00,NA
"3","HARV",10,2015-01-01 01:00:00,NA
"4","HARV",10,2015-01-01 01:30:00,NA
"5","HARV",10,2015-01-01 02:00:00,NA
"6","HARV",10,2015-01-01 02:30:00,NA
"7","HARV",10,2015-01-01 03:00:00,NA
"8","HARV",10,2015-01-01 03:30:00,-11.986
"9","HARV",10,2015-01-01 04:00:00,NA
"10","HARV",10,2015-01-01 04:30:00,NA
"11","HARV",10,2015-01-01 05:00:00,NA
"12","HARV",10,2015-01-01 05:30:00,NA
"13","HARV",10,2015-01-01 06:00:00,NA
"14","HARV",10,2015-01-01 06:30:00,NA
"15","HARV",10,2015-01-01 07:00:00,NA
"16","HARV",10,2015-01-01 07:30:00,NA
"17","HARV",10,2015-01-01 08:00:00,NA
"18","HARV",10,2015-01-01 08:30:00,-9.0262
"19","HARV",10,2015-01-01 09:00:00,NA
"20","HARV",10,2015-01-01 09:30:00,NA
"21","HARV",10,2015-01-01 10:00:00,NA
"22","HARV",10,2015-01-01 10:30:00,NA
"23","HARV",10,2015-01-01 11:00:00,NA
"24","HARV",10,2015-01-01 11:30:00,NA
"25","HARV",10,2015-01-01 12:00:00,NA
"26","HARV",10,2015-01-01 12:30:00,NA
"27","HARV",10,2015-01-01 13:00:00,NA
"28","HARV",10,2015-01-01 13:30:00,NA
"29","HARV",10,2015-01-01 14:00:00,NA
"30","HARV",10,2015-01-01 14:30:00,NA
"31","HARV",10,2015-01-01 15:00:00,NA
"32","HARV",10,2015-01-01 15:30:00,NA
"33","HARV",10,2015-01-01 16:00:00,NA
"34","HARV",10,2015-01-01 16:30:00,NA
"35","HARV",10,2015-01-01 17:00:00,NA
"36","HARV",10,2015-01-01 17:30:00,NA
"37","HARV",10,2015-01-01 18:00:00,-2.3487
"38","HARV",10,2015-01-01 18:30:00,NA
"39","HARV",10,2015-01-01 19:00:00,NA
"40","HARV",10,2015-01-01 19:30:00,NA
"41","HARV",10,2015-01-01 20:00:00,NA
"42","HARV",10,2015-01-01 20:30:00,NA
"43","HARV",10,2015-01-01 21:00:00,NA
